id,identifica,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,geometry
pand.5177835,626100000015214,2017,Bouw gestart,None,0,0,0,"POLYGON Z ((89487.389 459058.538 0, 89482.736 459061.603 0, 89485.211 459065.361 0, 89489.864 459062.296 0, 89487.389 459058.538 0))"
pand.9071746,1916100000365194,2015,Bouw gestart,None,0,0,0,"POLYGON Z ((90447.06600000001 457448.258 0, 90450.874 457441.971 0, 90445.742 457438.862 0, 90441.93399999999 457445.149 0, 90447.06600000001 457448.258 0))"
pand.9071749,1916100000365223,2016,Bouw gestart,woonfunctie,164,164,1,"POLYGON Z ((92147.44500000001 457489.727 0, 92153.626 457479.093 0, 92140.436 457471.426 0, 92131.399 457486.973 0, 92137.696 457490.634 0, 92140.552 457485.72 0, 92147.44500000001 457489.727 0))"
pand.9071783,1916100000366522,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86054.91800000001 456238.926 0, 86058.357 456240.959 0, 86063.531 456244.104 0, 86064.041 456243.237 0, 86065.927 456244.347 0, 86084.886 456212.125 0, 86075.74800000001 456203.706 0, 86054.91800000001 456238.926 0))"
pand.9071784,1916100000366523,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86065.94500000001 456244.316 0, 86067.815 456245.421 0, 86067.255 456246.369 0, 86069.819 456247.884 0, 86070.601 456246.56 0, 86076.035 456249.772 0, 86078.984 456244.783 0, 86079.625 456245.162 0, 86094.425 456220.029 0, 86085.015 456212.244 0, 86084.886 456212.125 0, 86065.94500000001 456244.316 0))"
pand.9071785,1916100000366524,2016,Bouw gestart,winkelfunctie,100,100,2,"POLYGON Z ((86076.035 456249.772 0, 86075.784 456250.197 0, 86077.974 456251.492 0, 86079.268 456249.302 0, 86081.211 456250.45 0, 86083.109 456247.173 0, 86090.175 456251.349 0, 86104.151 456227.702 0, 86094.425 456220.029 0, 86079.625 456245.162 0, 86078.984 456244.783 0, 86076.035 456249.772 0))"
pand.9071786,1916100000366525,2016,Bouw gestart,winkelfunctie,100,100,2,"POLYGON Z ((86104.151 456227.702 0, 86090.175 456251.349 0, 86089.3 456252.83 0, 86096.34699999999 456256.995 0, 86110.79399999999 456232.55 0, 86104.151 456227.702 0))"
pand.9071788,1916100000366526,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86110.79399999999 456232.55 0, 86096.34699999999 456256.995 0, 86103.27 456261.087 0, 86117.55499999999 456237.065 0, 86110.79399999999 456232.55 0))"
pand.9071789,1916100000366527,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86117.55499999999 456237.065 0, 86103.27 456261.087 0, 86110.32799999999 456265.258 0, 86123.757 456242.545 0, 86122.27800000001 456241.3 0, 86119.58100000001 456239.029 0, 86117.659 456237.134 0, 86117.55499999999 456237.065 0))"
pand.9071792,1916100000366516,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86153.416 456288.828 0, 86160.268 456292.877 0, 86175.526 456267.281 0, 86167.772 456264.106 0, 86153.416 456288.828 0))"
pand.9071793,1916100000366517,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86123.757 456242.545 0, 86110.32799999999 456265.258 0, 86117.368 456269.419 0, 86130.538 456247.033 0, 86128.592 456245.925 0, 86123.757 456242.545 0))"
pand.9071794,1916100000366518,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86130.538 456247.033 0, 86117.368 456269.419 0, 86124.389 456273.568 0, 86137.802 456250.827 0, 86136.841 456250.361 0, 86133.77099999999 456248.874 0, 86130.624 456247.082 0, 86130.538 456247.033 0))"
pand.9071795,1916100000366519,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86131.38400000001 456277.702 0, 86145.61199999999 456253.623 0, 86143.352 456253.006 0, 86137.802 456250.827 0, 86124.389 456273.568 0, 86131.38400000001 456277.702 0))"
pand.9071796,1916100000366520,2016,Bouw gestart,winkelfunctie,100,100,1,"POLYGON Z ((86131.38400000001 456277.702 0, 86138.389 456281.842 0, 86152.856 456257.353 0, 86145.61199999999 456253.623 0, 86131.38400000001 456277.702 0))"
pand.9071797,1916100000366521,2016,Bouw gestart,winkelfunctie,100,100,4,"POLYGON Z ((86058.357 456240.959 0, 86054.91800000001 456238.926 0, 86075.74800000001 456203.706 0, 86063.413 456191.12 0, 86062.09 456189.887 0, 86060.16099999999 456188.843 0, 86058.06299999999 456188.248 0, 86056.414 456188.124 0, 86054.622 456188.342 0, 86052.136 456189.314 0, 86050.421 456190.64 0, 86049.13499999999 456192.105 0, 86035.43799999999 456215.569 0, 86035.05 456217.386 0, 86034.98299999999 456219.286 0, 86038.039 456237.631 0, 86038.519 456238.95 0, 86039.647 456240.763 0, 86041.243 456242.384 0, 86052.856 456249.473 0, 86055.474 456245.105 0, 86055.795 456245.294 0, 86058.357 456240.959 0))"
